state,last_update,lat,long,confirmed,deaths,recovered,active,fips,incident_rate,people_tested,people_hospitalized,mortality_rate,testing_rate,hospitalization_rate,date,month_abbr,day,state_abbr
New York,2020-04-12T23:18:15Z,42.1657,-74.9481,189033,9385,23887,179648,36,1121.124012,461601,42594,4.964741606,2737.680538,22.53257368,2020-04-12,Apr,12,NY
North Carolina,2020-04-12T23:18:15Z,35.6301,-79.8064,4570,89,NA,4481,37,46.07841902,62139,331,1.947483589,626.5354222,7.242888403,2020-04-12,Apr,12,NC
North Dakota,2020-04-12T23:18:15Z,47.5289,-99.784,308,7,121,301,38,50.79004911,10350,39,2.272727273,1706.743533,12.66233766,2020-04-12,Apr,12,ND
Ohio,2020-04-12T23:18:15Z,40.3888,-82.7649,6604,253,NA,6351,39,59.10222609,63243,1948,3.831011508,565.9906245,29.49727438,2020-04-12,Apr,12,OH
Oklahoma,2020-04-12T23:18:15Z,35.5653,-96.9289,1970,96,865,1874,40,53.85995428,22760,446,4.873096447,622.2601824,22.63959391,2020-04-12,Apr,12,OK
Oregon,2020-04-12T23:18:15Z,44.572,-122.0709,1527,52,NA,1475,41,38.1076067,29758,359,3.405370007,742.6366471,23.51015062,2020-04-12,Apr,12,OR
Pennsylvania,2020-04-12T23:18:15Z,40.5908,-77.2098,22938,557,NA,22381,42,182.2284446,124890,2097,2.428284942,992.175013,9.142035051,2020-04-12,Apr,12,PA
Rhode Island,2020-04-12T23:18:15Z,41.6809,-71.5118,2665,63,35,2602,44,251.5667464,20350,201,2.363977486,1920.969339,7.542213884,2020-04-12,Apr,12,RI
South Carolina,2020-04-12T23:18:15Z,33.8569,-80.945,3320,82,NA,3238,45,65.87334263,31425,496,2.469879518,623.5149976,14.93975904,2020-04-12,Apr,12,SC
South Dakota,2020-04-12T23:18:15Z,44.2998,-99.4388,730,6,197,724,46,99.19933903,8553,43,0.821917808,1162.262941,5.890410959,2020-04-12,Apr,12,SD
Tennessee,2020-04-12T23:18:15Z,35.7478,-86.6923,5508,106,1504,5402,47,83.90037425,70677,567,1.924473493,1076.584377,10.29411765,2020-04-12,Apr,12,TN
Texas,2020-04-12T23:18:15Z,31.0545,-97.5635,13677,283,2014,13394,48,59.50516088,124533,1338,2.069167215,541.811523,9.782847116,2020-04-12,Apr,12,TX
Utah,2020-04-12T23:18:15Z,40.15,-111.8624,2303,18,NA,2285,49,80.3592053,44234,195,0.781589231,1543.468991,8.467216674,2020-04-12,Apr,12,UT
Vermont,2020-04-12T23:18:15Z,44.0459,-72.7107,727,27,15,700,50,119.0649715,9841,34,3.71389271,1611.717172,4.676753783,2020-04-12,Apr,12,VT
Virginia,2020-04-12T23:18:15Z,37.7693,-78.17,5274,141,NA,5133,51,66.69845192,39985,751,2.673492605,505.6764505,14.23966629,2020-04-12,Apr,12,VA
Washington,2020-04-12T23:18:15Z,47.4009,-121.4905,10609,506,NA,10103,53,140.5276682,93615,642,4.7695353,1240.031828,6.051465737,2020-04-12,Apr,12,WA
West Virginia,2020-04-12T23:18:15Z,38.4912,-80.9545,593,6,83,587,54,44.82244115,16257,81,1.011804384,1228.800044,13.65935919,2020-04-12,Apr,12,WV
