(state),date,state,positive,recovered,death,positiveIncrease,daily_cases_adj,active_roll7,active_roll7_adj,daily_recover,daily_recover_adj,recovered_roll7,recovered_roll7_adj,deathIncrease,daily_deaths_adj,deaths_roll7,deaths_roll7_adj,hospitalizedIncrease,hospitalizedCurrently,inIcuCurrently
MD,2020-04-27,MD,19487,1263,1045,906,14.89367298360052,857.8571428571429,14.102255797307022,86,1.4137482081563408,0.9205802285669196,0.9205802285669196,44,0.7233130367311511,56.42857142857143,0.927625485418197,139,1513,535
MD,2020-04-28,MD,20113,1295,1099,626,10.290771840765924,979.4285714285714,16.10076032411939,32,0.5260458448953826,0.9605033507241585,0.9605033507241585,54,0.8877023632609582,53.857142857142854,0.8853539443105324,167,1528,551
MD,2020-04-29,MD,20849,1361,1168,736,12.099054432593801,958.1428571428571,15.750845900505945,66,1.0849695550967267,0.9980780539309716,0.9980780539309716,69,1.1342863530556688,53.57142857142857,0.8806571064096808,134,1610,586
MD,2020-04-30,MD,21742,1432,1226,893,14.679966859111772,983,16.159470797880036,71,1.1671642183616302,1.1483768667582237,1.1483768667582237,58,0.9534580938728809,53,0.8712634306079775,157,1711,590
MD,2020-05-01,MD,23472,1517,1276,1730,28.439353489656625,988.7142857142857,16.253407555897066,85,1.3973092755033603,1.0145169865839523,1.0145169865839523,50,0.8219466326490354,54.142857142857146,0.890050782211384,159,1668,568
MD,2020-05-02,MD,24473,1590,1323,1001,16.45537158563369,1000.5714285714286,16.44832632878241,73,1.2000420836675918,1.2094357594692948,1.2094357594692948,47,0.7726298346900933,53.857142857142854,0.8853539443105324,192,1657,566
MD,2020-05-03,MD,25462,1666,1372,989,16.258104393797918,1044.857142857143,17.176336203414415,76,1.2493588816265337,1.2728430711307919,1.2728430711307919,49,0.8055076999960545,50.285714285714285,0.826643470549887,141,1635,565
MD,2020-05-04,MD,26408,1695,1424,946,15.551230289719749,1090.2857142857142,17.923133429649823,29,0.47672904693644047,1.4020061134042119,1.4020061134042119,52,0.8548244979549967,50.57142857142857,0.8313403084507386,148,1649,563
MD,2020-05-05,MD,27117,1810,1476,709,11.655203250963321,1001.8571428571429,16.469462099336244,115,1.8904772550927813,1.2305715300231272,1.2305715300231272,52,0.8548244979549967,52.42857142857143,0.8618697548062741,138,1693,573
MD,2020-05-06,MD,28163,1903,1520,1046,17.19512355501782,1008.7142857142857,16.58218620895668,93,1.528820736727206,1.336250382792289,1.336250382792289,44,0.7233130367311511,52.714285714285715,0.8665665927071258,160,1707,584
MD,2020-05-07,MD,29374,2029,1580,1211,19.907547442759636,1017.8571428571429,16.732485021783933,126,2.071305514275569,1.4724586819169863,1.4724586819169863,60,0.9863359591788424,52.42857142857143,0.8618697548062741,166,1683,584
MD,2020-05-08,MD,30485,2041,1643,1111,18.263654177461568,995,16.356737989715803,12,0.1972671918357685,1.4160966271067665,1.4160966271067665,63,1.0356527571377845,52,0.8548244979549967,148,1674,571
MD,2020-05-09,MD,31534,2159,1692,1049,17.244440352976763,992,16.307421191756863,118,1.9397940530517235,1.3714766670486762,1.3714766670486762,49,0.8055076999960545,51.142857142857146,0.8407339842524418,121,1665,575
MD,2020-05-10,MD,32587,2293,1739,1053,17.310196083588686,949.8571428571429,15.614637601381247,134,2.2028169754994145,1.298675679585476,1.298675679585476,47,0.7726298346900933,51.57142857142857,0.8477792411037193,23,1640,611
MD,2020-05-11,MD,33373,2298,1788,786,12.921001065242837,932.7142857142857,15.332827327330149,5,0.08219466326490354,1.2681462332299402,1.2681462332299402,49,0.8055076999960545,50.714285714285715,0.8336887274011644,228,1544,585
MD,2020-05-12,MD,34061,2394,1834,688,11.309985665250727,928.7142857142857,15.267071596718226,96,1.578137534686148,1.512381804074225,1.512381804074225,46,0.7561909020371126,49.714285714285715,0.8172497947481837,104,1563,590
MD,2020-05-13,MD,34812,2456,1881,751,12.345638422388511,919.1428571428571,15.109727527039697,62,1.019213824484804,1.5194270609255025,1.5194270609255025,47,0.7726298346900933,49.714285714285715,0.8172497947481837,117,1550,572
MD,2020-05-14,MD,35903,2569,1935,1091,17.934875524401953,888.1428571428571,14.600120614797294,113,1.85759938978682,1.2282231110727013,1.2282231110727013,54,0.8877023632609582,50.142857142857146,0.8242950515994611,149,1538,569
MD,2020-05-15,MD,36986,2685,1991,1083,17.80336406317811,912.7142857142857,15.004048674270535,116,1.9069161877457619,1.218829435270998,1.218829435270998,56,0.9205802285669197,47.714285714285715,0.7843719294422223,126,1496,598
MD,2020-05-16,MD,37968,2806,2040,982,16.143031865227055,1069.2857142857142,17.577915843937227,121,1.9891108510106654,1.1131505825018364,1.1131505825018364,49,0.8055076999960545,47.142857142857146,0.7749782536405191,76,1500,598
MD,2020-05-17,MD,38804,2816,2090,836,13.742947697891871,1073,17.6389747366483,10,0.1643893265298071,1.2611009763786627,1.2611009763786627,50,0.8219466326490354,45.285714285714285,0.7444488072849834,238,1460,562
MD,2020-05-18,MD,39762,2817,2122,958,15.748497481555518,1089.7142857142858,17.91373975384812,1,0.016438932652980708,1.2446620437256821,1.2446620437256821,32,0.5260458448953826,40.857142857142854,0.6716478198217831,93,1447,555
MD,2020-05-19,MD,41546,2868,2164,1784,29.32705585291758,1062.5714285714287,17.467540153267215,51,0.838385565302016,1.3104177743376049,1.3104177743376049,42,0.6904351714251897,40.42857142857143,0.6646025629705058,113,1421,537
MD,2020-05-20,MD,42323,2993,2198,777,12.77305067136601,1075.2857142857142,17.676549439855112,125,2.0548665816225884,1.120195839353114,1.120195839353114,34,0.558923710201344,38,0.624679440813267,194,1410,539
MD,2020-05-21,MD,43531,3099,2221,1208,19.858230644800692,1072.7142857142858,17.634277898747445,106,1.742526861215955,1.181254732064185,1.181254732064185,23,0.3780954510185563,35.857142857142854,0.5894531565568796,92,1374,526
MD,2020-05-22,MD,44424,3243,2274,893,14.679966859111772,1055.7142857142858,17.354816043646775,144,2.367206302029222,1.2023905026180175,1.2023905026180175,53,0.8712634306079775,36.714285714285715,0.6035436702594346,149,1329,506
MD,2020-05-23,MD,45495,3283,2306,1071,17.606096871342338,877.2857142857143,14.421640774564931,40,0.6575573061192284,1.09436323089843,1.09436323089843,32,0.5260458448953826,36.142857142857146,0.5941499944577312,191,1320,524
MD,2020-05-24,MD,46313,3319,2341,818,13.447046910138218,871.4285714285714,14.325355597597474,36,0.5918015755073055,0.9581549317737327,0.9581549317737327,35,0.5753626428543247,37.142857142857146,0.610588927110712,114,1290,503
MD,2020-05-25,MD,47152,3329,2379,839,13.792264495850814,882.5714285714286,14.508532275730687,10,0.1643893265298071,0.8665665927071259,0.8665665927071259,38,0.6246794408132669,40,0.6575573061192282,153,1279,517
MD,2020-05-26,MD,47687,3334,2417,535,8.794828969344678,937.7142857142857,15.41502199059505,5,0.08219466326490354,0.7702814157396674,0.7702814157396674,38,0.6246794408132669,37.714285714285715,0.6199826029124152,87,1315,520
MD,2020-05-27,MD,48423,3401,2458,736,12.099054432593801,931.4285714285714,15.311691556776314,67,1.1014084877497072,0.8595213358558483,0.8595213358558483,41,0.673996238772209,36.57142857142857,0.6011952513090087,102,1338,520
MD,2020-05-28,MD,49709,3468,2501,1286,21.14046739173319,923.5714285714286,15.182528514502895,67,1.1014084877497072,1.0450464329394877,1.0450464329394877,43,0.7068741040781704,36.42857142857143,0.5988468323585829,111,1334,511
MD,2020-05-29,MD,50988,3571,2538,1279,21.025394863162322,882.1428571428571,14.501487018879407,103,1.6932100632570128,1.0638337845428942,1.0638337845428942,37,0.6082405081602862,35.142857142857146,0.5777110618047505,87,1296,507
MD,2020-05-30,MD,52015,3649,2562,1027,16.882783834611185,926.8571428571429,15.23654215036269,78,1.2822367469324951,1.2235262731718497,1.2235262731718497,24,0.394534383671537,32.714285714285715,0.5377879396475117,140,1239,492
MD,2020-05-31,MD,52778,3764,2596,763,12.54290561422428,937,15.403279895842923,115,1.8904772550927813,1.336250382792289,1.336250382792289,34,0.558923710201344,29.714285714285715,0.4884711416885696,119,1183,479
MD,2020-06-01,MD,53327,3782,2625,549,9.024974026486408,878.4285714285714,14.440428126168339,18,0.29590078775365275,1.2141325973701464,1.2141325973701464,29,0.47672904693644047,23.857142857142858,0.3921859647211111,148,1174,479
